,Response Time seconds,Battalion,Year_Month,,,
1683,281,B02,2019-08,,,
1686,879,B02,2019-08,,,
1688,146,B02,2019-08,,,
1694,271,B02,2019-08,,,
1699,317,B02,2019-08,,,
1700,423,B02,2019-08,,,
1704,237,B02,2019-08,,,
1705,338,B02,2019-08,,,
1708,1174,B02,2019-08,,,
1710,397,B02,2019-08,,,
1726,363,B02,2019-08,,,
1728,266,B02,2019-08,,,
1731,408,B02,2019-08,,,
1733,473,B02,2019-08,,,
1737,238,B02,2019-08,,,
1738,219,B02,2019-08,,,
1746,322,B02,2019-08,,,
1747,182,B02,2019-08,,,
1748,312,B02,2019-08,,,
1749,506,B02,2019-08,,,
1754,612,B02,2019-08,,,
1755,185,B02,2019-08,,,
1757,585,B02,2019-08,,,
1759,390,B02,2019-08,,,
1760,200,B02,2019-08,,,
1775,712,B02,2019-08,,,
1782,1574,B02,2019-08,,,
1793,607,B02,2019-08,,,
1798,415,B02,2019-08,,,
1803,571,B02,2019-08,,,
1812,412,B02,2019-08,,,
1813,533,B02,2019-08,,,
1824,457,B02,2019-08,,,
1831,258,B02,2019-08,,,
1835,540,B02,2019-08,,,
1838,299,B02,2019-08,,,
1840,241,B02,2019-08,,,
1853,324,B02,2019-08,,,
1855,480,B02,2019-08,,,
1856,243,B02,2019-08,,,
1871,633,B02,2019-08,,,
1890,560,B02,2019-08,,,
1893,466,B02,2019-08,,,
1899,656,B02,2019-08,,,
1900,1266,B02,2019-08,,,
1902,290,B02,2019-08,,,
1906,254,B02,2019-08,,,
1910,484,B02,2019-08,,,
1912,211,B02,2019-08,,,
1914,299,B02,2019-08,,,
1919,183,B02,2019-08,,,
1931,761,B02,2019-08,,,
1936,377,B02,2019-08,,,
1942,261,B02,2019-08,,,
1951,555,B02,2019-08,,,
1957,1045,B02,2019-08,,,
1960,352,B02,2019-08,,,
1961,330,B02,2019-08,,,
1967,183,B02,2019-08,,,
1972,0,B02,2019-08,,,
1973,476,B02,2019-08,,,
1974,256,B02,2019-08,,,
1975,458,B02,2019-08,,,
1981,0,B02,2019-08,,,
1982,0,B02,2019-08,,,
1986,291,B02,2019-08,,,
1989,283,B02,2019-08,,,
1992,240,B02,2019-08,,,
1996,185,B02,2019-08,,,
2002,289,B02,2019-08,,,
2008,1050,B02,2019-08,,,
2017,338,B02,2019-08,,,
2019,364,B02,2019-08,,,
2020,392,B02,2019-08,,,
2023,332,B02,2019-08,,,
2035,485,B02,2019-08,,,
2038,710,B02,2019-08,,,
2039,435,B02,2019-08,,,
2044,131,B02,2019-08,,,
2046,322,B02,2019-08,,,
2047,498,B02,2019-08,,,
2048,345,B02,2019-08,,,
2050,438,B02,2019-08,,,
2054,838,B02,2019-08,,,
2055,361,B02,2019-08,,,
2059,289,B02,2019-08,,,
2065,277,B02,2019-08,,,
2072,263,B02,2019-08,,,
2078,573,B02,2019-08,,,
2081,281,B02,2019-08,,,
2087,294,B02,2019-08,,,
2088,254,B02,2019-08,,,
2090,274,B02,2019-08,,,
2101,287,B02,2019-08,,,
2102,275,B02,2019-08,,,
2107,306,B02,2019-08,,,
2109,479,B02,2019-08,,,
2110,911,B02,2019-08,,,
2112,469,B02,2019-08,,,
2124,339,B02,2019-08,,,
2134,147,B02,2019-08,,,
2143,522,B02,2019-08,,,
2151,365,B02,2019-08,,,
2155,314,B02,2019-08,,,
2157,2509,B02,2019-08,,,
2170,159,B02,2019-08,,,
2173,497,B02,2019-08,,,
2176,461,B02,2019-08,,,
2194,498,B02,2019-08,,,
2197,514,B02,2019-08,,,
2199,245,B02,2019-08,,,
2201,172,B02,2019-08,,,
2202,1332,B02,2019-08,,,
2203,522,B02,2019-08,,,
2207,568,B02,2019-08,,,
2218,487,B02,2019-08,,,
2225,312,B02,2019-08,,,
2226,282,B02,2019-08,,,
2232,427,B02,2019-08,,,
2238,311,B02,2019-08,,,
2240,777,B02,2019-08,,,
2255,291,B02,2019-08,,,
2259,359,B02,2019-08,,,
2260,246,B02,2019-08,,,
2264,818,B02,2019-08,,,
2266,797,B02,2019-08,,,
2268,193,B02,2019-08,,,
2277,415,B02,2019-08,,,
2281,602,B02,2019-08,,,
2284,1217,B02,2019-08,,,
2301,540,B02,2019-08,,,
2303,391,B02,2019-08,,,
2310,679,B02,2019-08,,,
2320,285,B02,2019-08,,,
2321,325,B02,2019-08,,,
2329,341,B02,2019-08,,,
2333,458,B02,2019-08,,,
2339,606,B02,2019-08,,,
2341,303,B02,2019-08,,,
2342,329,B02,2019-08,,,
2343,291,B02,2019-08,,,
2348,332,B02,2019-08,,,
2356,233,B02,2019-08,,,
2381,579,B02,2019-08,,,
2387,490,B02,2019-08,,,
2403,289,B02,2019-08,,,
2404,697,B02,2019-08,,,
2408,169,B02,2019-08,,,
2412,677,B02,2019-08,,,
2414,411,B02,2019-08,,,
2421,348,B02,2019-08,,,
2423,596,B02,2019-08,,,
2426,339,B02,2019-08,,,
2437,850,B02,2019-08,,,
2438,199,B02,2019-08,,,
2442,935,B02,2019-08,,,
2450,691,B02,2019-08,,,
2461,861,B02,2019-08,,,
2472,366,B02,2019-08,,,
2476,196,B02,2019-08,,,
2482,613,B02,2019-08,,,
2484,864,B02,2019-08,,,
2488,759,B02,2019-08,,,
2490,230,B02,2019-08,,,
2491,397,B02,2019-08,,,
2495,302,B02,2019-08,,,
2496,383,B02,2019-08,,,
2514,289,B02,2019-08,,,
2518,1104,B02,2019-08,,,
2521,542,B02,2019-08,,,
2525,265,B02,2019-08,,,
2527,501,B02,2019-08,,,
2531,444,B02,2019-08,,,
2532,999,B02,2019-08,,,
2533,390,B02,2019-08,,,
2535,616,B02,2019-08,,,
2544,247,B02,2019-08,,,
2549,109,B02,2019-08,,,
2550,317,B02,2019-08,,,
2554,303,B02,2019-08,,,
2561,308,B02,2019-08,,,
2565,864,B02,2019-08,,,
2568,459,B02,2019-08,,,
2583,312,B02,2019-08,,,
2591,188,B02,2019-08,,,
2600,141,B02,2019-08,,,
2604,312,B02,2019-08,,,
2605,266,B02,2019-08,,,
2612,695,B02,2019-08,,,
2619,392,B02,2019-08,,,
2642,404,B02,2019-08,,,
2643,424,B02,2019-08,,,
2644,382,B02,2019-08,,,
2645,313,B02,2019-08,,,
2647,623,B02,2019-08,,,
2660,277,B02,2019-08,,,
2682,962,B02,2019-08,,,
2683,427,B02,2019-08,,,
2686,4289,B02,2019-08,,,
2711,297,B02,2019-08,,,
2725,318,B02,2019-08,,,
2731,0,B02,2019-08,,,
2733,254,B02,2019-08,,,
2736,395,B02,2019-08,,,
2754,691,B02,2019-08,,,
2759,562,B02,2019-08,,,
2762,326,B02,2019-08,,,
2765,639,B02,2019-08,,,
2787,636,B02,2019-08,,,
2796,964,B02,2019-08,,,
2799,199,B02,2019-08,,,
2806,473,B02,2019-08,,,
2818,1204,B02,2019-08,,,
2824,328,B02,2019-08,,,
2839,244,B02,2019-08,,,
2845,1092,B02,2019-08,,,
2848,768,B02,2019-08,,,
2856,296,B02,2019-08,,,
2860,344,B02,2019-08,,,
2869,485,B02,2019-08,,,
2872,921,B02,2019-08,,,
2874,346,B02,2019-08,,,
2875,546,B02,2019-08,,,
2880,429,B02,2019-08,,,
2882,329,B02,2019-08,,,
2885,363,B02,2019-08,,,
2886,645,B02,2019-08,,,
2889,346,B02,2019-08,,,
2892,140,B02,2019-08,,,
2893,1096,B02,2019-08,,,
2896,842,B02,2019-08,,,
2904,360,B02,2019-08,,,
2905,203,B02,2019-08,,,
2913,423,B02,2019-08,,,
2941,715,B02,2019-08,,,
2950,445,B02,2019-08,,,
2963,753,B02,2019-08,,,
2982,288,B02,2019-08,,,
2983,0,B02,2019-08,,,
2986,1570,B02,2019-08,,,
3010,232,B02,2019-08,,,
3012,632,B02,2019-08,,,
3013,224,B02,2019-08,,,
3016,326,B02,2019-08,,,
3017,956,B02,2019-08,,,
3021,474,B02,2019-08,,,
3022,343,B02,2019-08,,,
3024,311,B02,2019-08,,,
3027,453,B02,2019-08,,,
3028,548,B02,2019-08,,,
3033,449,B02,2019-08,,,
3042,465,B02,2019-08,,,
3043,694,B02,2019-08,,,
3046,313,B02,2019-08,,,
3049,263,B02,2019-08,,,
3052,1128,B02,2019-08,,,
3055,748,B02,2019-08,,,
3058,378,B02,2019-08,,,
3065,484,B02,2019-08,,,
3069,866,B02,2019-08,,,
3086,340,B02,2019-08,,,
3093,377,B02,2019-08,,,
3106,382,B02,2019-08,,,
3111,215,B02,2019-08,,,
3112,410,B02,2019-08,,,
3115,434,B02,2019-08,,,
3121,160,B02,2019-08,,,
3126,197,B02,2019-08,,,
3130,344,B02,2019-08,,,
3142,192,B02,2019-08,,,
