,Response Time seconds,Battalion,Year_Month,,,
1034,322,B02,2019-08,,,
1045,77,B02,2019-08,,,
1054,601,B02,2019-08,,,
1055,399,B02,2019-08,,,
1059,641,B02,2019-08,,,
1061,365,B02,2019-08,,,
1065,2248,B02,2019-08,,,
1069,313,B02,2019-08,,,
1075,1062,B02,2019-08,,,
1077,683,B02,2019-08,,,
1078,483,B02,2019-08,,,
1087,343,B02,2019-08,,,
1102,316,B02,2019-08,,,
1109,610,B02,2019-08,,,
1122,347,B02,2019-08,,,
1124,1045,B02,2019-08,,,
1126,316,B02,2019-08,,,
1127,707,B02,2019-08,,,
1128,455,B02,2019-08,,,
1132,329,B02,2019-08,,,
1133,74,B02,2019-08,,,
1135,1426,B02,2019-08,,,
1145,225,B02,2019-08,,,
1146,844,B02,2019-08,,,
1147,357,B02,2019-08,,,
1154,0,B02,2019-08,,,
1164,516,B02,2019-08,,,
1167,363,B02,2019-08,,,
1170,304,B02,2019-08,,,
1179,339,B02,2019-08,,,
1185,208,B02,2019-08,,,
1191,817,B02,2019-08,,,
1194,274,B02,2019-08,,,
1211,166,B02,2019-08,,,
1219,809,B02,2019-08,,,
1222,456,B02,2019-08,,,
1229,197,B02,2019-08,,,
1233,196,B02,2019-08,,,
1253,502,B02,2019-08,,,
1255,223,B02,2019-08,,,
1257,652,B02,2019-08,,,
1263,190,B02,2019-08,,,
1272,354,B02,2019-08,,,
1275,1309,B02,2019-08,,,
1278,760,B02,2019-08,,,
1287,500,B02,2019-08,,,
1290,357,B02,2019-08,,,
1293,403,B02,2019-08,,,
1294,305,B02,2019-08,,,
1298,601,B02,2019-08,,,
1299,188,B02,2019-08,,,
1302,113,B02,2019-08,,,
1313,993,B02,2019-08,,,
1326,444,B02,2019-08,,,
1336,694,B02,2019-08,,,
1338,278,B02,2019-08,,,
1352,1464,B02,2019-08,,,
1361,203,B02,2019-08,,,
1363,302,B02,2019-08,,,
1364,349,B02,2019-08,,,
1365,266,B02,2019-08,,,
1367,759,B02,2019-08,,,
1369,299,B02,2019-08,,,
1375,371,B02,2019-08,,,
1380,236,B02,2019-08,,,
1381,734,B02,2019-08,,,
1393,602,B02,2019-08,,,
1395,613,B02,2019-08,,,
1401,2245,B02,2019-08,,,
1403,251,B02,2019-08,,,
1405,275,B02,2019-08,,,
1407,359,B02,2019-08,,,
1410,568,B02,2019-08,,,
1420,306,B02,2019-08,,,
1425,236,B02,2019-08,,,
1439,785,B02,2019-08,,,
1442,402,B02,2019-08,,,
1460,467,B02,2019-08,,,
1463,568,B02,2019-08,,,
1464,1032,B02,2019-08,,,
1477,252,B02,2019-08,,,
1479,426,B02,2019-08,,,
1482,906,B02,2019-08,,,
1486,534,B02,2019-08,,,
1506,556,B02,2019-08,,,
1511,320,B02,2019-08,,,
1516,1506,B02,2019-08,,,
1519,443,B02,2019-08,,,
1527,420,B02,2019-08,,,
1528,322,B02,2019-08,,,
1537,257,B02,2019-08,,,
1538,0,B02,2019-08,,,
1540,272,B02,2019-08,,,
1543,321,B02,2019-08,,,
1549,688,B02,2019-08,,,
1557,552,B02,2019-08,,,
1569,360,B02,2019-08,,,
1573,330,B02,2019-08,,,
1575,341,B02,2019-08,,,
1576,546,B02,2019-08,,,
1584,372,B02,2019-08,,,
1595,541,B02,2019-08,,,
1612,243,B02,2019-08,,,
1614,680,B02,2019-08,,,
1621,701,B02,2019-08,,,
1624,814,B02,2019-08,,,
1627,471,B02,2019-08,,,
1628,1116,B02,2019-08,,,
1631,171,B02,2019-08,,,
1663,420,B02,2019-08,,,
1665,339,B02,2019-08,,,
1674,459,B02,2019-08,,,
1676,179,B02,2019-08,,,
1679,787,B02,2019-08,,,
1681,291,B02,2019-08,,,
